"iso","country","year","region","type","consumption","per_capita","percent"
"ARE","United Arab Emirates",1990,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",1990,"Middle East and North Africa","Coal",NA,NA,NA
"ARE","United Arab Emirates",1990,"Middle East and North Africa","Hydro",0,0,0
"ARE","United Arab Emirates",1990,"Middle East and North Africa","Natural Gas",0.59354,0.31237,0.47796
"ARE","United Arab Emirates",1990,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",1990,"Middle East and North Africa","Oil",0.64829,0.34118,0.52204
"ARE","United Arab Emirates",1990,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",1990,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",1990,"Middle East and North Africa","Total",1.24183,0.65354,1
"ARE","United Arab Emirates",1990,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",1991,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",1991,"Middle East and North Africa","Coal",NA,NA,NA
"ARE","United Arab Emirates",1991,"Middle East and North Africa","Hydro",0,0,0
"ARE","United Arab Emirates",1991,"Middle East and North Africa","Natural Gas",0.71464,0.35583,0.4717
"ARE","United Arab Emirates",1991,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",1991,"Middle East and North Africa","Oil",0.80038,0.39852,0.5283
"ARE","United Arab Emirates",1991,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",1991,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",1991,"Middle East and North Africa","Total",1.51501,0.75435,1
"ARE","United Arab Emirates",1991,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",1992,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",1992,"Middle East and North Africa","Coal",NA,NA,NA
"ARE","United Arab Emirates",1992,"Middle East and North Africa","Hydro",0,0,0
"ARE","United Arab Emirates",1992,"Middle East and North Africa","Natural Gas",0.65812,0.31099,0.44951
"ARE","United Arab Emirates",1992,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",1992,"Middle East and North Africa","Oil",0.80598,0.38086,0.55049
"ARE","United Arab Emirates",1992,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",1992,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",1992,"Middle East and North Africa","Total",1.4641,0.69185,1
"ARE","United Arab Emirates",1992,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",1993,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",1993,"Middle East and North Africa","Coal",NA,NA,NA
"ARE","United Arab Emirates",1993,"Middle East and North Africa","Hydro",0,0,0
"ARE","United Arab Emirates",1993,"Middle East and North Africa","Natural Gas",0.68936,0.31007,0.45219
"ARE","United Arab Emirates",1993,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",1993,"Middle East and North Africa","Oil",0.83513,0.37563,0.54781
"ARE","United Arab Emirates",1993,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",1993,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",1993,"Middle East and North Africa","Total",1.52449,0.68569,1
"ARE","United Arab Emirates",1993,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",1994,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",1994,"Middle East and North Africa","Coal",NA,NA,NA
"ARE","United Arab Emirates",1994,"Middle East and North Africa","Hydro",0,0,0
"ARE","United Arab Emirates",1994,"Middle East and North Africa","Natural Gas",0.79712,0.34226,0.47651
"ARE","United Arab Emirates",1994,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",1994,"Middle East and North Africa","Oil",0.87571,0.376,0.52349
"ARE","United Arab Emirates",1994,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",1994,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",1994,"Middle East and North Africa","Total",1.67283,0.71825,1
"ARE","United Arab Emirates",1994,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",1995,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",1995,"Middle East and North Africa","Coal",NA,NA,NA
"ARE","United Arab Emirates",1995,"Middle East and North Africa","Hydro",0,0,0
"ARE","United Arab Emirates",1995,"Middle East and North Africa","Natural Gas",0.87013,0.35749,0.49849
"ARE","United Arab Emirates",1995,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",1995,"Middle East and North Africa","Oil",0.87541,0.35966,0.50151
"ARE","United Arab Emirates",1995,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",1995,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",1995,"Middle East and North Africa","Total",1.74554,0.71715,1
"ARE","United Arab Emirates",1995,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",1996,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",1996,"Middle East and North Africa","Coal",NA,NA,NA
"ARE","United Arab Emirates",1996,"Middle East and North Africa","Hydro",0,0,0
"ARE","United Arab Emirates",1996,"Middle East and North Africa","Natural Gas",0.95297,0.37041,0.52976
"ARE","United Arab Emirates",1996,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",1996,"Middle East and North Africa","Oil",0.84591,0.3288,0.47024
"ARE","United Arab Emirates",1996,"Middle East and North Africa","Other",0,0,0
"ARE","United Arab Emirates",1996,"Middle East and North Africa","Solar",0,0,0
"ARE","United Arab Emirates",1996,"Middle East and North Africa","Total",1.79888,0.69921,1
"ARE","United Arab Emirates",1996,"Middle East and North Africa","Wind",0,0,0
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Biofuels",NA,NA,NA
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Coal",NA,NA,NA
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Hydro",0,0,0
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Natural Gas",1.0179,0.37067,0.54223
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Nuclear",0,0,0
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Oil",0.85934,0.31293,0.45777
"ARE","United Arab Emirates",1997,"Middle East and North Africa","Other",0,0,0
